,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.34,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
21528.62,0.50,6440.26,6439.92,6439.76,0.19,6439.88,6439.98,6439.91,6440.26,6439.76,,DS of Gold Run,21528.62,CWCB-100yr,6439.88,,DS of Gold Run,21517,CWCB-100yr,6439.53,,DS of Gold Run,21507,CWCB-100yr,6439.06,,DS of Gold Run,21493,CWCB-100yr,6439.18,,DS of Gold Run,21476,CWCB-100yr,6438.35
21465.59,0.55,6438.11,6437.62,6437.56,0.24,6437.58,6437.71,6437.56,6438.11,6437.96,,DS of Gold Run,21465.59,CWCB-100yr,6437.58,,DS of Gold Run,21444,CWCB-100yr,6436.94,,DS of Gold Run,21423,CWCB-100yr,6436.02,,DS of Gold Run,21400,CWCB-100yr,6435.54,,DS of Gold Run,21375,CWCB-100yr,6434.59
21352.49,0.96,6434.02,6433.41,6433.06,0.41,6434.02,6433.13,6433.07,6433.12,6433.06,,DS of Gold Run,21352.49,CWCB-100yr,6434.02,,DS of Gold Run,21330,CWCB-100yr,6432.19,,DS of Gold Run,21303,CWCB-100yr,6431,,DS of Gold Run,21270,CWCB-100yr,6428.91,,DS of Gold Run,21225,CWCB-100yr,6424.42
21182.64,0.96,6422.67,6422.28,6421.71,0.37,6422.67,6422.03,6422.15,6422.41,6421.71,,DS of Gold Run,21182.64,CWCB-100yr,6422.67,,DS of Gold Run,21146,CWCB-100yr,6419.5,,DS of Gold Run,21109,CWCB-100yr,6416.73,,DS of Gold Run,21075,CWCB-100yr,6414.4,,DS of Gold Run,21039,CWCB-100yr,6412.52
21002.15,0.87,6410.39,6409.85,6409.52,0.34,6410.21,6409.82,6409.52,6409.89,6410.39,,DS of Gold Run,21002.15,CWCB-100yr,6410.21,,DS of Gold Run,20970,CWCB-100yr,6407.66,,DS of Gold Run,20933,CWCB-100yr,6404.85,,DS of Gold Run,20855,CWCB-100yr,6400.78,,DS of Gold Run,20802,CWCB-100yr,6398.82
20754.72,0.56,6396.91,6396.80,6396.36,0.21,6396.74,6396.91,6396.75,6396.36,6396.62,,DS of Gold Run,20754.72,CWCB-100yr,6396.74,,DS of Gold Run,20707,CWCB-100yr,6394.53,,DS of Gold Run,20662,CWCB-100yr,6392.54,,DS of Gold Run,20636,CWCB-100yr,6391.12,,DS of Gold Run,20604,CWCB-100yr,6389.59
20571.86,1.02,6388.28,6387.68,6387.26,0.41,6388.02,6387.26,6387.76,6388.28,6388.17,,DS of Gold Run,20571.86,CWCB-100yr,6388.02,,DS of Gold Run,20549,CWCB-100yr,6386.03,,DS of Gold Run,20516,CWCB-100yr,6384.79,,DS of Gold Run,20484,CWCB-100yr,6384.38,,DS of Gold Run,20441,CWCB-100yr,6382.37
20396,0.52,6381.60,6381.38,6381.08,0.22,6381.08,6381.47,6381.58,6381.60,6381.26,,DS of Gold Run,20396,CWCB-100yr,6381.08,,DS of Gold Run,20371,CWCB-100yr,6380.73,,DS of Gold Run,20348,CWCB-100yr,6380.29,,DS of Gold Run,20310,CWCB-100yr,6378.89,,DS of Gold Run,20267,CWCB-100yr,6378.09
20225.73,0.51,6377.21,6376.97,6376.70,0.20,6377.21,6376.91,6376.80,6376.70,6377.06,,DS of Gold Run,20225.73,CWCB-100yr,6377.21,,DS of Gold Run,20202,CWCB-100yr,6376.29,,DS of Gold Run,20167,CWCB-100yr,6375.12,,DS of Gold Run,20118,CWCB-100yr,6373.91,,DS of Gold Run,20074,CWCB-100yr,6373.29
20033.94,0.80,6372.04,6371.52,6371.24,0.35,6372.04,6371.25,6371.28,6371.24,6371.66,,DS of Gold Run,20033.94,CWCB-100yr,6372.04,,DS of Gold Run,19998,CWCB-100yr,6370.17,,DS of Gold Run,19969,CWCB-100yr,6369.41,,DS of Gold Run,19933,CWCB-100yr,6368.04,,DS of Gold Run,19893,CWCB-100yr,6365.91
