,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
74445,0.29,1908.52,1908.38,1908.23,0.11,1908.52,1908.27,1908.35,1908.33,1908.23,,1,74445,100yr,1908.52,,1,74529,100yr,1908.29,,1,74176,100yr,1908.29,,1,74699,100yr,1908.38,,1,74784,100yr,1908.29
73997,0.27,1908.41,1908.28,1908.14,0.11,1908.41,1908.16,1908.26,1908.25,1908.14,,1,73997,100yr,1908.41,,1,74086,100yr,1908.18,,1,73675,100yr,1908.21,,1,74265,100yr,1908.29,,1,74355,100yr,1908.21
73461,0.27,1908.29,1908.17,1908.02,0.10,1908.29,1908.06,1908.16,1908.14,1908.02,,1,73461,100yr,1908.29,,1,73568,100yr,1908.09,,1,73167,100yr,1908.09,,1,73782,100yr,1908.21,,1,73889,100yr,1908.12
72971,0.28,1908.19,1908.06,1907.91,0.11,1908.19,1907.95,1908.05,1908.03,1907.91,,1,72971,100yr,1908.19,,1,73069,100yr,1907.97,,1,72674,100yr,1907.99,,1,73265,100yr,1908.1,,1,73363,100yr,1908
72477,0.28,1908.09,1907.96,1907.81,0.11,1908.09,1907.85,1907.95,1907.93,1907.81,,1,72477,100yr,1908.09,,1,72575,100yr,1907.87,,1,72217,100yr,1907.9,,1,72773,100yr,1907.99,,1,72872,100yr,1907.89
72044,0.29,1908.01,1907.88,1907.72,0.11,1908.01,1907.76,1907.87,1907.85,1907.72,,1,72044,100yr,1908.01,,1,72130,100yr,1907.78,,1,71705,100yr,1907.81,,1,72303,100yr,1907.9,,1,72390,100yr,1907.79
71480,0.30,1907.92,1907.78,1907.62,0.12,1907.92,1907.66,1907.76,1907.74,1907.62,,1,71480,100yr,1907.92,,1,71592,100yr,1907.68,,1,71209,100yr,1907.71,,1,71818,100yr,1907.81,,1,71931,100yr,1907.7
71029,0.29,1907.83,1907.70,1907.54,0.11,1907.83,1907.58,1907.69,1907.68,1907.54,,1,71029,100yr,1907.83,,1,71119,100yr,1907.59,,1,70656,100yr,1907.65,,1,71299,100yr,1907.71,,1,71389,100yr,1907.6
70408,0.29,1907.74,1907.61,1907.45,0.11,1907.74,1907.49,1907.61,1907.59,1907.45,,1,70408,100yr,1907.74,,1,70532,100yr,1907.51,,1,70186,100yr,1907.57,,1,70780,100yr,1907.65,,1,70904,100yr,1907.52
70039,0.29,1907.66,1907.54,1907.37,0.11,1907.66,1907.41,1907.53,1907.52,1907.37,,1,70039,100yr,1907.66,,1,70112,100yr,1907.43,,1,69859,100yr,1907.49,,1,70260,100yr,1907.57,,1,70334,100yr,1907.44
69739,0.29,1907.58,1907.45,1907.29,0.11,1907.58,1907.33,1907.45,1907.43,1907.29,,1,69739,100yr,1907.58,,1,69799,100yr,1907.35,,1,69424,100yr,1907.35,,1,69919,100yr,1907.49,,1,69979,100yr,1907.36
69214,0.31,1907.39,1907.25,1907.08,0.12,1907.39,1907.12,1907.25,1907.23,1907.08,,1,69214,100yr,1907.39,,1,69319,100yr,1907.18,,1,68942,100yr,1907.11,,1,69529,100yr,1907.37,,1,69634,100yr,1907.26
68761,0.30,1907.14,1907.02,1906.84,0.12,1907.14,1906.89,1907.03,1907.01,1906.84,,1,68761,100yr,1907.14,,1,68851,100yr,1906.92,,1,68458,100yr,1906.9,,1,69032,100yr,1907.15,,1,69123,100yr,1907.04
68256,0.33,1906.96,1906.83,1906.63,0.13,1906.96,1906.70,1906.83,1906.81,1906.63,,1,68256,100yr,1906.96,,1,68357,100yr,1906.73,,1,67982,100yr,1906.74,,1,68559,100yr,1906.91,,1,68660,100yr,1906.78
67800,0.25,1906.83,1906.72,1906.58,0.11,1906.83,1906.58,1906.74,1906.74,1906.59,,1,67800,100yr,1906.83,,1,67891,100yr,1906.58,,1,67536,100yr,1906.74,,1,68073,100yr,1906.75,,1,68164,100yr,1906.6
67361,0.31,1906.83,1906.70,1906.52,0.13,1906.83,1906.56,1906.71,1906.70,1906.52,,1,67361,100yr,1906.83,,1,67448,100yr,1906.57,,1,67028,100yr,1906.65,,1,67624,100yr,1906.74,,1,67712,100yr,1906.59
66806,0.31,1906.74,1906.61,1906.43,0.13,1906.74,1906.46,1906.62,1906.61,1906.43,,1,66806,100yr,1906.74,,1,66917,100yr,1906.48,,1,66523,100yr,1906.59,,1,67139,100yr,1906.66,,1,67250,100yr,1906.5
66335,0.31,1906.68,1906.55,1906.37,0.13,1906.68,1906.40,1906.57,1906.55,1906.37,,1,66335,100yr,1906.68,,1,66429,100yr,1906.41,,1,65999,100yr,1906.53,,1,66617,100yr,1906.58,,1,66711,100yr,1906.42
65775,0.31,1906.63,1906.50,1906.32,0.13,1906.63,1906.35,1906.50,1906.49,1906.32,,1,65775,100yr,1906.63,,1,65887,100yr,1906.37,,1,65494,100yr,1906.47,,1,66111,100yr,1906.52,,1,66223,100yr,1906.35
65307,0.32,1906.57,1906.44,1906.25,0.13,1906.57,1906.29,1906.45,1906.44,1906.25,,1,65307,100yr,1906.57,,1,65400,100yr,1906.3,,1,64957,100yr,1906.41,,1,65587,100yr,1906.47,,1,65681,100yr,1906.31
64724,0.33,1906.52,1906.38,1906.19,0.13,1906.52,1906.23,1906.39,1906.38,1906.19,,1,64724,100yr,1906.52,,1,64840,100yr,1906.24,,1,64403,100yr,1906.37,,1,65073,100yr,1906.41,,1,65190,100yr,1906.23
64189,0.33,1906.48,1906.34,1906.15,0.14,1906.48,1906.18,1906.35,1906.34,1906.15,,1,64189,100yr,1906.48,,1,64296,100yr,1906.19,,1,63781,100yr,1906.32,,1,64510,100yr,1906.36,,1,64617,100yr,1906.18
63510,0.34,1906.43,1906.28,1906.09,0.14,1906.43,1906.13,1906.29,1906.28,1906.09,,1,63510,100yr,1906.43,,1,63645,100yr,1906.14,,1,63192,100yr,1906.26,,1,63917,100yr,1906.32,,1,64053,100yr,1906.14
62980,0.34,1906.38,1906.23,1906.04,0.14,1906.38,1906.08,1906.24,1906.23,1906.04,,1,62980,100yr,1906.38,,1,63086,100yr,1906.09,,1,62705,100yr,1906.22,,1,63298,100yr,1906.26,,1,63404,100yr,1906.08
62522,0.34,1906.34,1906.20,1906.00,0.14,1906.34,1906.04,1906.21,1906.20,1906.00,,1,62522,100yr,1906.34,,1,62613,100yr,1906.05,,1,62201,100yr,1906.18,,1,62796,100yr,1906.22,,1,62888,100yr,1906.03
61987,0.34,1906.30,1906.15,1905.96,0.14,1906.3,1905.99,1906.16,1906.15,1905.96,,1,61987,100yr,1906.3,,1,62094,100yr,1906,,1,61745,100yr,1906.13,,1,62308,100yr,1906.18,,1,62415,100yr,1905.99
61585,0.35,1906.26,1906.11,1905.91,0.14,1906.26,1905.95,1906.11,1906.12,1905.91,,1,61585,100yr,1906.26,,1,61665,100yr,1905.96,,1,61334,100yr,1906.09,,1,61826,100yr,1906.14,,1,61906,100yr,1905.95
61168,0.36,1906.22,1906.06,1905.86,0.14,1906.22,1905.91,1906.07,1906.07,1905.86,,1,61168,100yr,1906.22,,1,61251,100yr,1905.92,,1,60827,100yr,1906.02,,1,61418,100yr,1906.1,,1,61501,100yr,1905.9
